Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CTW,Qwest Corporation,25.55,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctw
CTX,Qwest Corporation,25.4,$3.18B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctx
CTY,Qwest Corporation,24.28,n/a,2013,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cty
CTZ,Qwest Corporation,24.8,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctz
RAX,"Rackspace Hosting, Inc",24.25,$3.18B,2008,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/rax
RDN,Radian Group Inc.,12.13,$2.4B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/rdn
RAS,RAIT Financial Trust,2.9,$265.76M,1998,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ras
RAS^A,RAIT Financial Trust,17.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ras^a
RAS^B,RAIT Financial Trust,17.66,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ras^b
RAS^C,RAIT Financial Trust,18.71,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ras^c
RFT,RAIT Financial Trust,19.9,n/a,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rft
RFTA,RAIT Financial Trust,22.88,n/a,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rfta
RL,Ralph Lauren Corporation,94.81,$7.97B,1997,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/rl
RPT,Ramco-Gershenson Properties Trust,18.09,$1.43B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rpt
RPT^D,Ramco-Gershenson Properties Trust,65.0101,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rpt^d
RRC,Range Resources Corporation,38.28,$6.49B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rrc
RJD,"Raymond James Financial, Inc.",26.3,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/rjd
RJF,"Raymond James Financial, Inc.",48.31,$6.82B,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/rjf
RYAM,Rayonier Advanced Materials Inc.,11.61,$497.72M,2014,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ryam
RYN,Rayonier Inc.,24.98,$3.07B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ryn
RTN,Raytheon Company,126.26,$37.75B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/rtn
RMAX,"RE/MAX Holdings, Inc.",36.51,$642M,2013,Finance,Real Estate,http://www.nasdaq.com/symbol/rmax
RLGY,Realogy Holdings Corp.,36.04,$5.29B,2012,Finance,Real Estate,http://www.nasdaq.com/symbol/rlgy
O,Realty Income Corporation,63.29,$15.86B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/o
O^F,Realty Income Corporation,26.09,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/o^f
RHT,"Red Hat, Inc.",75.04,$13.7B,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/rht
RLH,Red Lion Hotels Corporation,7.69,$154.46M,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/rlh
RWT,"Redwood Trust, Inc.",12.82,$990.38M,1995,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rwt
RBC,Regal Beloit Corporation,67.91,$3.03B,n/a,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/rbc
RGC,Regal Entertainment Group,20.85,$3.27B,2002,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/rgc
REG,Regency Centers Corporation,75.08,$7.33B,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/reg
REG^F,Regency Centers Corporation,26.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/reg^f
REG^G,Regency Centers Corporation,26.52,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/reg^g
RM,Regional Management Corp.,17.83,$228.97M,2012,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/rm
RF,Regions Financial Corporation,8.98,$11.56B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/rf
RF^A,Regions Financial Corporation,26.16,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rf^a
RF^B,Regions Financial Corporation,27.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rf^b
RGS,Regis Corporation,15.82,$748.2M,1991,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/rgs
RGA,"Reinsurance Group of America, Incorporated",97.47,$6.36B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/rga
RZA,"Reinsurance Group of America, Incorporated",29.47,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/rza
RS,Reliance Steel & Aluminum Co.,73.22,$5.26B,1994,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/rs
RENX,RELX N.V.,18.06,$37.79B,2015,Consumer Services,Publishing,http://www.nasdaq.com/symbol/renx
RELX,RELX PLC,19.27,$40.32B,2015,Consumer Services,Publishing,http://www.nasdaq.com/symbol/relx
RNR,RenaissanceRe Holdings Ltd.,117.21,$5.06B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/rnr
RNR^C,RenaissanceRe Holdings Ltd.,25.37,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rnr^c
RNR^E,RenaissanceRe Holdings Ltd.,25.18,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rnr^e
SOL,Renesola Ltd.,1.39,$142.22M,2008,Technology,Semiconductors,http://www.nasdaq.com/symbol/sol
RENN,Renren Inc.,3.33,$1.14B,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/renn
RSG,"Republic Services, Inc.",46.45,$16.02B,1998,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/rsg
RMD,ResMed Inc.,59.67,$8.36B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/rmd
REN           ,Resolute Energy Corporation,0.5999,$46.45M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ren
RFP,Resolute Forest Products Inc.,6.72,$602.13M,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/rfp
RSO,Resource Capital Corp.,11.83,$371.96M,2006,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rso
RSO^A,Resource Capital Corp.,16.7677,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rso^a
RSO^B,Resource Capital Corp.,16.24,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rso^b
RSO^C,Resource Capital Corp.,17.12,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rso^c
QSR,Restaurant Brands International Inc.,41.23,$9.61B,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/qsr
RH,Restoration Hardware Holdings Inc.,44.16,$1.79B,2012,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/rh
RPAI,"Retail Properties of America, Inc.",16.55,$3.93B,2012,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rpai
RPAI^A,"Retail Properties of America, Inc.",26.24,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rpai^a
REV,"Revlon, Inc.",37.2,$1.95B,1996,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/rev
REX,REX American Resources Corporation,55.55,$364.44M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/rex
REXR,"Rexford Industrial Realty, Inc.",18.78,$1.04B,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rexr
RXN,Rexnord Corporation,21.55,$2.18B,2012,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/rxn
RAI,Reynolds American Inc,48.71,$69.53B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/rai
RICE,Rice Energy Inc.,16.63,$2.27B,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rice
RMP,Rice Midstream Partners LP,15.33,$1.09B,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/rmp
RNG,"Ringcentral, Inc.",18.05,$1.3B,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/rng
RIO,Rio Tinto Plc,33.8,$61.13B,2002,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/rio
RBA,Ritchie Bros. Auctioneers Incorporated,28.91,$3.1B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/rba
RAD,Rite Aid Corporation,8.04,$8.41B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/rad
RIV,"RiverNorth Opportunities Fund, Inc.",18.9925,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/riv
RLI,RLI Corp.,64.44,$2.81B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/rli
RLJ,RLJ Lodging Trust,22.39,$2.79B,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rlj
RRTS,"Roadrunner Transportation Systems, Inc",12.55,$480.24M,2010,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/rrts
RHI,Robert Half International Inc.,45.12,$5.92B,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/rhi
ROK,"Rockwell Automation, Inc.",116.19,$15.27B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/rok
COL,"Rockwell Collins, Inc.",93.69,$12.29B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/col
RCI,"Rogers Communication, Inc.",38.91,$15.65B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/rci
ROG,Rogers Corporation,59.49,$1.07B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/rog
ROL,"Rollins, Inc.",27.04,$5.92B,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/rol
ROP,"Roper Technologies, Inc.",179.75,$18.17B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/rop
RRMS,"Rose Rock Midstream, L.P.",15.75,$579.58M,2011,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/rrms
RST,Rosetta Stone,8.04,$175.94M,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/rst
RSE,"Rouse Properties, Inc.",18.33,$1.06B,2011,Finance,Real Estate,http://www.nasdaq.com/symbol/rse
RDC,Rowan Companies plc,16.78,$2.09B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rdc
RY,Royal Bank Of Canada,61.86,$91.98B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/ry
RY^S,Royal Bank Of Canada,26.61,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ry^s
RY^T,Royal Bank Of Canada,31.79,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ry^t
RBS,Royal Bank Scotland plc (The),7.04,$40.92B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/rbs
RBS^E,Royal Bank Scotland plc (The),24.09,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/rbs^e
RBS^F,Royal Bank Scotland plc (The),25.75,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/rbs^f
RBS^G,Royal Bank Scotland plc (The),24.11,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/rbs^g
RBS^H,Royal Bank Scotland plc (The),25.513,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/rbs^h
RBS^I,Royal Bank Scotland plc (The),24.184,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/rbs^i
RBS^L,Royal Bank Scotland plc (The),24.14,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rbs^l
RBS^R,Royal Bank Scotland plc (The),24.29,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rbs^r
RBS^S,Royal Bank Scotland plc (The),24.76,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rbs^s
RBS^T,Royal Bank Scotland plc (The),25.06,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rbs^t
RCL,Royal Caribbean Cruises Ltd.,79.19,$17.22B,1993,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/rcl
RDS.A,Royal Dutch Shell PLC,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rds.a
RDS.B,Royal Dutch Shell PLC,n/a,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rds.b
RGT,"Royce Global Value Trust, Inc.",7.58,$78.04M,2013,n/a,n/a,http://www.nasdaq.com/symbol/rgt
RMT,"Royce Micro-Cap Trust, Inc.",7.2,$251.08M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rmt
RVT,"Royce Value Trust, Inc.",11.82,$913.11M,1986,n/a,n/a,http://www.nasdaq.com/symbol/rvt
RES,"RPC, Inc.",14.86,$3.23B,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/res
RPM,RPM International Inc.,51.45,$6.83B,n/a,Basic Industries,Paints/Coatings,http://www.nasdaq.com/symbol/rpm
RSPP,"RSP Permian, Inc.",31.33,$3.19B,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rspp
RT,"Ruby Tuesday, Inc.",4.44,$267.24M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/rt
RKUS,"Ruckus Wireless, Inc.",13.47,$1.21B,2012,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/rkus
RTEC,"Rudolph Technologies, Inc.",13.64,$423.19M,1999,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/rtec
R,"Ryder System, Inc.",67.58,$3.62B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/r
RYI,Ryerson Holding Corporation,7.41,$237.86M,2014,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/ryi
RHP,"Ryman Hospitality Properties, Inc.",52.03,$2.66B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rhp
SBR,Sabine Royalty Trust,32.13,$468.43M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sbr
SB,"Safe Bulkers, Inc",1.23,$102.73M,2008,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sb
SB^B,"Safe Bulkers, Inc",23.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sb^b
SB^C,"Safe Bulkers, Inc",14.89,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sb^c
SB^D,"Safe Bulkers, Inc",14.55,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sb^d
SFE,"Safeguard Scientifics, Inc.",14.47,$292.03M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/sfe
CRM,Salesforce.com Inc,76.19,$51.12B,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/crm
SMM,Salient Midstream & MLP Fund,8.73,$82.93M,2012,n/a,n/a,http://www.nasdaq.com/symbol/smm
SBH,"Sally Beauty Holdings, Inc.",30.69,$4.49B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/sbh
SJT,San Juan Basin Royalty Trust,5.97,$278.25M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sjt
SN,Sanchez Energy Corporation,6.99,$437.43M,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sn
SDT,SandRidge Mississippian Trust I,2.97,$83.16M,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sdt
SDR,SandRidge Mississippian Trust II,2.42,$120.33M,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sdr
PER,SandRidge Permian Trust,2.78,$145.95M,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/per
SNY,Sanofi,44.19,$115.4B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sny
SC,Santander Consumer USA Holdings Inc.,11.15,$3.99B,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/sc
SOV^C,"Santander Holdings USA, Inc.",26.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sov^c
SAP,SAP SE,80.63,$99.05B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sap
SAQ,Saratoga Investment Corp,25.151,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/saq
SAR,Saratoga Investment Corp,16.175,$92.12M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sar
SSL,Sasol Ltd.,31.54,$20.63B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ssl
BFS,"Saul Centers, Inc.",52.61,$1.11B,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/bfs
BFS^C,"Saul Centers, Inc.",26.4173,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bfs^c
SCG,Scana Corporation,69.88,$9.99B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/scg
SLB,Schlumberger N.V.,79.64,$100.06B,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/slb
SWM,"Schweitzer-Mauduit International, Inc.",32.97,$1.01B,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/swm
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,53.17,$2.38B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/saic
SALT,Scorpio Bulkers Inc.,4.1,$9.79M,2013,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/salt
SLTB,Scorpio Bulkers Inc.,17.6,n/a,2014,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sltb
SBNA,Scorpio Tankers Inc.,22.98,n/a,2014,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sbna
SBNB,Scorpio Tankers Inc.,24.85,n/a,2014,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sbnb
STNG,Scorpio Tankers Inc.,6.11,$1.07B,2010,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/stng
SMG,Scotts Miracle-Gro Company (The),72.52,$4.45B,1992,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/smg
LBF,"Scudder Global High Income Fund, Inc.",7.92,$51.34M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lbf
KHI,Scudder High Income Trust,8.66,$133.83M,1988,Consumer Services,Miscellaneous,http://www.nasdaq.com/symbol/khi
KMM,Scudder Multi-Market Income Trust,8.19,$187.18M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kmm
KTF,Scudder Municiple Income Trust,14.12,$554.8M,1988,n/a,n/a,http://www.nasdaq.com/symbol/ktf
KST,Scudder Strategic Income Trust,11.2101,$49.74M,1994,n/a,n/a,http://www.nasdaq.com/symbol/kst
KSM,Scudder Strategic Municiple Income Trust,14.06,$156.87M,1989,n/a,n/a,http://www.nasdaq.com/symbol/ksm
SA,"Seabridge Gold, Inc.",14.94,$778.97M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/sa
CKH,"SEACOR Holdings, Inc.",57.39,$985.17M,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/ckh
SDRL,Seadrill Limited,4.2,$2.07B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sdrl
SDLP,Seadrill Partners LLC,4.78,$438.91M,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sdlp
SEE,Sealed Air Corporation,50.8,$9.96B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/see
SSW,Seaspan Corporation,17.85,$1.76B,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/ssw
SSW^C,Seaspan Corporation,25.55,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ssw^c
SSW^D,Seaspan Corporation,24.82,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ssw^d
SSW^E,Seaspan Corporation,24.69,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ssw^e
SSWN,Seaspan Corporation,24.8326,n/a,2014,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sswn
SEAS,"SeaWorld Entertainment, Inc.",20.3,$1.79B,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/seas
JBN,Select Asset Inc.,17.18,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/jbn
JBR,Select Asset Inc.,17.004,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/jbr
SIR,Select Income REIT,23.64,$2.11B,2012,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sir
SEM,Select Medical Holdings Corporation,12.95,$1.7B,2009,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/sem
SGZA,"Selective Insurance Group, Inc.",26.02,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/sgza
SEMG,Semgroup Corporation,27.99,$1.23B,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/semg
SMI,Semiconductor  Manufacturing International Corporation,4.49,$3.69B,2004,Technology,Semiconductors,http://www.nasdaq.com/symbol/smi
SRE,Sempra Energy,104.21,$25.97B,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/sre
SNH,Senior Housing Properties Trust,18.54,$4.4B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/snh
SNHN,Senior Housing Properties Trust,25.19,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/snhn
SNHO,Senior Housing Properties Trust,25.34,n/a,2016,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/snho
ST,Sensata Technologies Holding N.V.,38.72,$6.6B,2010,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/st
SXT,Sensient Technologies Corporation,66.83,$3.01B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/sxt
SQNS,Sequans Communications S.A.,2.44,$144.37M,2011,Technology,Semiconductors,http://www.nasdaq.com/symbol/sqns
SRG,Seritage Growth Properties,53.6,$1.78B,2015,Finance,Real Estate,http://www.nasdaq.com/symbol/srg
SCI,Service Corporation International,25.5,$4.97B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/sci
SERV,"ServiceMaster Global Holdings, Inc.",37.82,$5.13B,2014,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/serv
NOW,"ServiceNow, Inc.",63.67,$10.28B,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/now
SSE,Seventy Seven Energy Inc.,0.2381,$14.12M,2014,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/sse
SHAK,"Shake Shack, Inc.",36.48,$1.32B,2015,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/shak
SJR,Shaw Communications Inc.,18.5,$8.49B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/sjr
SHLX,"Shell Midstream Partners, L.P.",35.1,$5.33B,2014,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/shlx
SHW,Sherwin-Williams Company (The),298.3,$27.52B,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/shw
SHG,Shinhan Financial Group Co Ltd,38.07,$18.05B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/shg
SFL,Ship Finance International Limited,14.54,$1.36B,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sfl
SHOP,Shopify Inc.,32.05,$2.05B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/shop
SSTK,"Shutterstock, Inc.",40.26,$1.42B,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/sstk
SBGL,Sibanye Gold Limited,15.52,$3.55B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/sbgl
SIG,Signet Jewelers Limited,111.89,$8.77B,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/sig
SBY,Silver Bay Realty Trust Corp.,14.42,$521.44M,2012,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sby
SSNI,"Silver Spring Networks, Inc.",14.38,$731.76M,2013,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ssni
SLW,Silver Wheaton Corp,18.49,$8.15B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/slw
SPG,"Simon Property Group, Inc.",208.26,$65.56B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/spg
SPG^J,"Simon Property Group, Inc.",71.8898,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/spg^j
SSD,"Simpson Manufacturing Company, Inc.",38,$1.84B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ssd
SHI,"SINOPEC Shangai Petrochemical Company, Ltd.",49.76,$5.37B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shi
SIX,Six Flags Entertainment Corporation New,58.54,$5.36B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/six
SJW,SJW Corporation,37.83,$772.42M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/sjw
SKM,"SK Telecom Co., Ltd.",20.03,$13.09B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/skm
SKX,"Skechers U.S.A., Inc.",29.51,$4.61B,1999,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/skx
SLG,SL Green Realty Corporation,102.36,$10.24B,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/slg
SLG^I,SL Green Realty Corporation,26.28,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/slg^i
SM,SM Energy Company,25.73,$1.75B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sm
SFS,Smart,15.11,$1.11B,2014,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/sfs
SNN,"Smith & Nephew SNATS, Inc.",34.79,$15.92B,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/snn
AOS,Smith (A.O.) Corporation,78.62,$6.9B,n/a,Consumer Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/aos
SNA,Snap-On Incorporated,161.6,$9.39B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sna
SQM,Sociedad Quimica y Minera S.A.,23.2,$6.11B,1993,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/sqm
SLRA,Solar Capital Ltd.,25.29,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/slra
SAH,"Sonic Automotive, Inc.",17.7,$814.91M,1997,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/sah
SON,Sonoco Products Company,48.8,$4.93B,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/son
